,latitude,longitude,foundation_date,first_funding_age,last_funding_age,first_milestone_age,last_milestone_age,connections,funding_rounds,total_funding,milestones,roundA,roundB,roundC,roundD,avg_group_size,in_Top500,Target,category,city,state_code
0,0.7509876954887988,0.9826521674547939,0.6666159695817491,0.38528886122211287,0.31143877347183385,0.41454488447774424,0.5245856443190295,0.07142857142857142,0.3333333333333333,0.0036304356522782735,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1,0.5151891376788413,0.01488681993233991,0.2777186311787072,0.5778429285728629,0.7480773072313225,0.540878769204156,0.540878769204156,0.21428571428571427,0.5,0.4009281113733648,0.16666666666666666,0.0,1.0,1.0,1.0,0.375,1.0,0,1,1,0
3,0.5189376702888022,0.013436185864773588,0.3888973384030418,0.44433957843865673,0.45579055133839397,0.48666926145762385,0.48666926145762385,0.11904761904761904,0.3333333333333333,0.39992799135896306,0.16666666666666666,0.0,1.0,1.0,1.0,0.23332999999999998,1.0,0,2,1,0
4,0.5400755016632319,0.006418965466863603,0.8343726235741444,0.2347302824019224,0.22815121853775472,0.16425026758781747,0.16425026758781747,0.047619047619047616,0.16666666666666666,0.01288154578549426,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,1,3,2,0
5,0.5229262401496706,0.012669643164831853,0.3888973384030418,0.5389666459165846,0.40772947463044357,0.43261111651692563,0.43261111651692563,0.07142857142857142,0.0,0.07488898667840141,0.16666666666666666,0.0,1.0,0.0,0.0,0.2,1.0,1,4,3,0
6,0.5222190651705051,0.013051787413832849,0.5555893536121673,0.34989323748134166,0.4492920994806233,0.3243488696441893,0.5194014682192166,0.14285714285714285,0.3333333333333333,0.2599111893427211,0.3333333333333333,1.0,1.0,0.0,0.0,0.06667000000000001,1.0,0,2,3,0
7,0.5528707029814659,0.00462271244428252,0.49992395437262355,0.34494668567641923,0.5460884438673592,0.46519736628717845,0.5601288746175386,0.5952380952380952,0.3333333333333333,0.3409209105092611,0.5,1.0,1.0,0.0,1.0,0.25,1.0,0,0,1,0
8,0.7672600749499277,0.9418488505483141,0.3888973384030418,0.47478195679966795,0.8176812824610468,0.5949369141448542,0.702458564431903,0.30952380952380953,0.3333333333333333,0.09639156698803857,0.6666666666666666,1.0,0.0,0.0,1.0,0.3,1.0,0,5,1,1
9,0.5238621183107781,0.011616421477951729,0.5563498098859315,0.34659330508644753,0.416450259688374,0.3199052901300639,0.4927453969489583,0.3333333333333333,0.3333333333333333,0.057386886426371166,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0,6,4,0
11,0.5250483499822334,0.010869170641150021,0.6111026615969581,0.3073488758141061,0.45715766080703163,0.12885299428064825,0.4112851783378202,0.19047619047619047,0.6666666666666666,0.10389246709605153,0.3333333333333333,1.0,0.0,0.0,0.0,0.075,1.0,1,6,5,0
12,0.5613613529387397,0.7038668597173316,0.49992395437262355,0.5629898860084205,0.43013383939272876,0.16217443482209465,0.16217443482209465,0.0,0.0,0.0033804056486778414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1,2
14,0.6306647772253283,0.33767030635826484,0.33338403041825093,0.5470390971706258,0.685652217339193,0.6399619430659618,0.6399619430659618,0.2857142857142857,0.6666666666666666,0.10689282713925671,0.16666666666666666,1.0,1.0,0.0,0.0,0.15,1.0,0,2,1,3
15,0.5917498294190381,0.8646517664463339,0.22220532319391634,0.6770550948144876,0.5365124350779066,0.16217443482209465,0.16217443482209465,0.0,0.0,0.001880225627075249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,4
16,0.5224366185024002,0.012381481650479703,0.4444106463878327,0.4078462084245333,0.5462632341190572,0.45956991339885184,0.45956991339885184,0.19047619047619047,0.6666666666666666,0.48993879265511864,0.16666666666666666,1.0,1.0,1.0,1.0,0.25,1.0,1,0,1,0
17,0.5313738289347267,0.007892388641725756,0.2786311787072243,0.542085851790866,0.5717451558130244,0.1352210437546625,0.8476046835976777,0.16666666666666666,0.5,0.24990998919870386,0.5,1.0,1.0,1.0,1.0,0.25,1.0,0,3,1,0
18,0.6759998188206936,0.9269662710245125,0.8333079847908745,0.2844300755704599,0.22267653815421498,0.2316337452563978,0.3244948266355292,0.23809523809523808,0.3333333333333333,0.04563547625715086,0.5,1.0,0.0,0.0,0.0,0.4,1.0,0,6,6,5
19,0.5247452638064423,0.011335938695332257,0.6666159695817491,0.4021633633874844,0.3006642029564523,0.3290897689554885,0.35101034672894166,0.30952380952380953,0.16666666666666666,0.2799135896307557,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1,1,4,0
20,0.19262751742923978,0.47434844873111626,0.33338403041825093,0.3829059485799581,0.3603550739113065,0.38314791389618674,0.6756511303558107,0.19047619047619047,0.16666666666666666,0.043435212225467056,0.5,1.0,0.0,0.0,0.0,0.05,0.0,0,2,7,6
21,0.9924860511161906,0.008972921144513063,0.49992395437262355,0.49128831234897624,0.36326408310027974,0.36493031905117146,0.36493031905117146,0.07142857142857142,0.0,0.14989798775853103,0.16666666666666666,0.0,1.0,0.0,0.0,0.1,1.0,1,0,8,7
22,0.5238197940142346,0.011705772264771073,0.3888973384030418,0.602234315280762,0.46673366959648427,0.16217443482209465,0.16217443482209465,0.023809523809523808,0.0,0.031583790054806576,0.16666666666666666,1.0,0.0,0.0,0.0,0.1,0.0,1,6,4,0
23,0.5393899309577429,0.006765116611206105,0.7221292775665399,0.1677945340267877,0.3309403715541351,0.3619679327084212,0.46830570962126866,0.09523809523809523,0.16666666666666666,0.02288274592951154,0.5,1.0,0.0,0.0,0.0,0.1,0.0,1,5,2,0
24,0.6428333210482342,0.3322403444324769,0.6672243346007605,0.25160478456729385,0.14503221134638436,0.16217443482209465,0.16217443482209465,0.11904761904761904,0.16666666666666666,0.004430531663799656,0.0,1.0,0.0,0.0,0.0,0.35,1.0,1,0,1,3
25,0.7287282932833344,0.6677557230685245,0.3888973384030418,0.558772933860787,0.42620105872952463,0.21623257976279286,0.21623257976279286,0.07142857142857142,0.0,0.12989558747049645,0.16666666666666666,0.0,0.0,1.0,0.0,0.3,1.0,0,2,9,8
26,0.5239745379058404,0.012324134449034971,0.4444106463878327,0.5065095015294818,0.37745954854174996,0.3244948266355292,0.3244948266355292,0.16666666666666666,0.0,0.14989798775853103,0.16666666666666666,0.0,0.0,1.0,0.0,0.3,1.0,0,0,4,0
27,0.5442582382642822,0.009290887161909565,0.7228897338403042,0.507058374666158,0.3779714342788654,0.34701004400332996,0.4449039386764404,0.047619047619047616,0.0,0.03788454614553746,0.5,0.0,1.0,0.0,0.0,0.1,1.0,0,0,1,0
30,0.5236605828138534,0.013527855476522178,0.6666159695817491,0.3253211242528297,0.2591078206152618,0.40639832203518106,0.40639832203518106,0.07142857142857142,0.16666666666666666,0.10489258711045325,0.16666666666666666,1.0,1.0,0.0,0.0,0.1,1.0,1,0,1,0
31,0.9925425418475725,0.008113874435983583,0.33338403041825093,0.512741219703207,0.4465516380343588,0.3243488696441893,0.3243488696441893,0.14285714285714285,0.16666666666666666,0.08589030683682042,0.16666666666666666,0.0,1.0,0.0,0.0,0.05,1.0,0,0,8,7
32,0.4582644325793645,0.833501261557653,0.6124714828897339,0.2235453188484374,0.2500436975629245,0.16217443482209465,0.16217443482209465,0.21428571428571427,0.16666666666666666,0.0498859863183582,0.0,1.0,1.0,0.0,0.0,0.15,1.0,1,2,1,2
33,0.5400755016632319,0.006418965466863603,0.8888212927756654,0.2347302824019224,0.17821114662405116,0.1845382893840615,0.27932384072308175,0.07142857142857142,0.16666666666666666,0.022932741929031483,0.3333333333333333,0.0,0.0,0.0,0.0,0.4,1.0,0,5,2,0
34,0.6626922125804343,0.8128597092614348,0.7785551330798479,0.24023240091835846,0.12912629844186976,0.16217443482209465,0.16217443482209465,0.047619047619047616,0.0,0.00013001560187222467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,9
35,0.6763850205794408,0.9267639440460628,0.5008365019011407,0.4126120337088429,0.2898896324410708,0.16217443482209465,0.16217443482209465,0.023809523809523808,0.0,0.03988478617434092,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,1,2,6,5
36,0.5406215265378981,0.006939617690506253,0.6666159695817491,0.27617689779580584,0.22353176188573715,0.21623257976279286,0.39632728963272895,0.19047619047619047,0.16666666666666666,0.1458975077009241,0.5,1.0,1.0,0.0,0.0,0.1,1.0,1,2,2,0
37,0.5228283277944463,0.015511686230462583,0.5555893536121673,0.30588298292469057,0.47990536356372354,0.16217443482209465,0.16217443482209465,0.0,0.3333333333333333,0.4399327919350322,0.0,0.0,1.0,1.0,0.0,0.35,1.0,1,0,10,0
38,0.5400856521256457,0.006882061414682651,0.7234980988593156,0.24591524595540742,0.28937774670395533,0.1950525985750273,0.4189884639918697,0.23809523809523808,0.3333333333333333,0.018111393367204066,0.5,1.0,0.0,0.0,0.0,0.13333,1.0,0,0,2,0
39,0.6771419761158791,0.92708730608311,0.6114068441064638,0.2347302824019224,0.4925589292848582,0.3698171753538106,0.5479874152638579,0.42857142857142855,1.0,0.29906589790774896,0.8333333333333334,1.0,1.0,1.0,0.0,0.175,1.0,0,7,6,5
40,0.3548215030361695,0.7291898154373304,0.6117110266159695,0.2347302824019224,0.42380393527766685,0.36329776307396233,0.5739028899484284,0.6190476190476191,0.5,0.3299195903508421,0.8333333333333334,1.0,1.0,1.0,0.0,0.2,1.0,0,1,1,10
41,0.7803135051372786,0.9750880655020754,0.8898859315589354,0.2347302824019224,0.1604262385137835,0.19372276820948614,0.19431200198933973,0.21428571428571427,0.16666666666666666,0.0011301356162739529,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1,2
42,0.6430747030972473,0.3322748607117504,0.7221292775665399,0.2416982938077739,0.27295994806232526,0.2882109997513325,0.31309396386753596,0.16666666666666666,0.16666666666666666,0.03988478617434092,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1,0,5,0
43,0.9940281753164475,0.008171540951025066,0.5469201520912548,0.4683628185304926,0.3418834898122254,0.4681597526299287,0.6131545089898695,0.23809523809523808,0.0,0.09989198703844461,0.5,0.0,0.0,1.0,0.0,0.1,1.0,0,1,8,7
44,0.5228368525249034,0.013772367962596937,0.3888973384030418,0.5470390971706258,0.41525794047143433,0.6347777669661487,0.7149027493972517,0.5952380952380952,0.0,0.05988718646237549,0.6666666666666666,0.0,0.0,1.0,0.0,0.2,1.0,0,7,11,0
45,0.5211722918258866,0.013696388432643676,0.4444106463878327,0.41041654116213844,0.28784208949260887,0.16217443482209465,0.16217443482209465,0.09523809523809523,0.0,0.24990998919870386,0.0,0.0,1.0,0.0,0.0,0.4,1.0,0,2,11,0
46,0.6759998188206936,0.9269662710245125,0.779467680608365,0.2967127853972972,0.30836121654015186,0.2071994637432022,0.3104288973219595,0.047619047619047616,0.3333333333333333,0.0373844861383366,0.5,1.0,0.0,0.0,0.0,0.1,1.0,0,0,6,5
49,0.5300125432358923,0.008987197123236791,0.3902661596958175,0.4494735503390295,0.3242671294446664,0.44623917485647563,0.5882715448736662,0.2619047619047619,0.0,0.09989198703844461,0.3333333333333333,0.0,0.0,0.0,1.0,0.1,1.0,0,2,12,0
50,0.534504353127587,0.006955032174256609,0.6111026615969581,0.4076654819039205,0.2852764182980424,0.2702907247034911,0.2702907247034911,0.11904761904761904,0.0,0.02988358603032364,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0,6,1,0
51,0.7510509286326008,0.982624208508312,0.7777946768060836,0.36145304122572747,0.27672418098282064,0.2702907247034911,0.3393067583492805,0.09523809523809523,0.16666666666666666,0.11489378725447054,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0,5,13,1
52,0.19660775598951544,0.4752060319189939,0.5014448669201521,0.2847915286116856,0.17068268078306034,0.3810720811304639,0.6121165926070081,0.2857142857142857,0.0,0.0498859863183582,0.8333333333333334,1.0,0.0,0.0,0.0,0.2,1.0,0,6,7,6
53,0.7517595727576418,0.9792503372431505,0.2777186311787072,0.5818791541998836,0.5493407910507392,0.5586476814461635,0.5586476814461635,0.21428571428571427,0.16666666666666666,0.289914789774773,0.16666666666666666,0.0,0.0,0.0,1.0,0.4,1.0,0,0,14,1
54,0.5404348759295947,0.006712264508907094,0.6117110266159695,0.2796575567113128,0.5130842988413904,0.3810720811304639,0.5728703793800612,0.8809523809523809,0.8333333333333334,0.3469216305956715,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,0,1,2,0
55,0.5245207930541546,0.011377905625197578,0.49992395437262355,0.3141361606993447,0.3423953755493408,0.16217443482209465,0.16217443482209465,0.0,0.16666666666666666,0.12039444733368004,0.0,1.0,0.0,0.0,0.0,0.1,1.0,1,2,4,0
56,0.5247072686544855,0.011309538303310895,0.6111026615969581,0.379606016185064,0.42123826408310033,0.3785529715762274,0.527250710864606,0.30952380952380953,0.3333333333333333,0.11989438732647918,0.3333333333333333,1.0,1.0,0.0,0.0,0.1,1.0,0,0,4,0
57,0.3468759384370769,0.095533199831993,0.5557414448669201,0.5094412873083127,0.3801937674790252,0.2657011881980258,0.2657011881980258,0.42857142857142855,0.0,0.054886586390366844,0.16666666666666666,0.0,0.0,1.0,0.0,0.1,1.0,0,0,1,0
58,0.5227355275142125,0.013388459886108758,0.6675285171102662,0.36786548592006535,0.3832713244107072,0.3188673737472025,0.44638513184781553,0.23809523809523808,0.3333333333333333,0.23990878905468657,0.6666666666666666,1.0,1.0,0.0,0.0,0.23332999999999998,1.0,0,2,11,0
59,0.6010459765977957,0.5355164255284828,0.2786311787072243,0.5829769004732358,0.5103438373951259,0.567978117262928,0.8591569091715049,0.14285714285714285,0.16666666666666666,0.09989198703844461,0.3333333333333333,1.0,1.0,0.0,0.0,0.35,1.0,0,5,1,2
60,0.7596277009343102,0.9804312843687514,0.22387832699619772,0.42105263157894735,0.8075933879344787,0.058647681446163495,0.058647681446163495,0.23809523809523808,0.3333333333333333,0.18999950994119294,0.16666666666666666,0.0,1.0,0.0,0.0,0.1,1.0,1,8,1,1
61,0.5412732930718283,0.006700037459096083,0.5555893536121673,0.4689116916671687,0.3423953755493408,0.3243488696441893,0.3243488696441893,0.14285714285714285,0.0,0.0498859863183582,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,1,0,2,0
62,0.9958426856097139,0.010744315223448141,0.33338403041825093,0.5055924817767425,0.7048042349180984,0.48666926145762385,0.48666926145762385,0.047619047619047616,0.6666666666666666,0.1890484458134976,0.16666666666666666,0.0,0.0,1.0,0.0,0.2,1.0,0,1,1,7
63,0.08747577780278548,0.7659831237708293,0.33338403041825093,0.6612850324973059,0.5218050838993209,0.16217443482209465,0.16217443482209465,0.0,0.0,0.03988478617434092,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1,2,1,2
64,0.7510509286326008,0.982624208508312,0.7238022813688213,0.32348708474735105,0.2977614362764683,0.25266776945282343,0.331603472695231,0.11904761904761904,0.3333333333333333,0.0201912429491539,0.3333333333333333,1.0,0.0,0.0,0.0,0.2,1.0,0,2,13,1
65,0.5402549539172922,0.008521434526749246,0.6111026615969581,0.4116950139561036,0.2890344087095486,0.16217443482209465,0.5617614305947477,0.09523809523809523,0.0,0.0498859863183582,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0
